stock_code,company_name,year,inv_rate_win,cfcr_final_win,roa_win,size,sales_growth_win,inv_rate,cfcr_final,roa,sales_growth,capex,total_assets,total_assets_prev,ocf,interest_final
001790,대한제당,2021,0.008472284396782414,0.03176923029741715,0.01707785576226732,27.79847454538143,0.03861584737786199,0.008472284396782414,0.03176923029741715,0.01707785576226732,0.03861584737786199,9711287000.0,1182290229000.0,1146241857000.0,-11839308000.0,12227775000.0
001790,대한제당,2022,0.006137573348751747,1.3552324345287703,0.020946411625959362,27.829434416664085,0.09254072836616785,0.006137573348751747,1.3552324345287703,0.020946411625959362,0.09254072836616785,7256393000.0,1219466296000.0,1182290229000.0,11398287000.0,32086842000.0
001790,대한제당,2023,0.007561035536811589,2.4760930052883037,0.027479100299218247,27.801094310182656,-0.033180790435331724,0.007561035536811589,2.4760930052883037,0.027479100299218247,-0.033180790435331724,9220428000.0,1185391612000.0,1219466296000.0,40029747000.0,27118716000.0
001790,대한제당,2024,0.007500257223011293,3.727974500101556,0.016636932465326857,27.84091165272908,0.031132378587725384,0.007500257223011293,3.727974500101556,0.016636932465326857,0.031132378587725384,8890742000.0,1233543025000.0,1185391612000.0,50352405000.0,18457799000.0
001800,오리온홀딩스,2015,0.04602077865003564,20.405575644456476,0.059058725542352794,28.72924626064044,,0.04602077865003564,20.405575644456476,0.059058725542352794,,134956817877.0,2998838792923.0,2932519219270.0,482078532918.0,24842269137.0
001800,오리온홀딩스,2016,0.07907016992863357,14.121255172056479,0.08561747960849056,28.69878390264357,0.0016336543715606024,0.07907016992863357,14.121255172056479,0.08561747960849056,0.0016336543715606024,237118692945.0,2908864464708.0,2998838792923.0,340626404934.0,25959894878.0
001800,오리온홀딩스,2017,0.019980918983048743,-0.03771760383414916,0.23125430343833914,29.09029862358388,,0.019980918983048743,-0.03771760383414916,0.34544699255470185,,58121785202.0,4302849629124.0,2908864464708.0,-8784025368.0,8464755089.0
001800,오리온홀딩스,2018,0.038828266909948596,22.860638347915877,0.027243487755193013,29.09938707767723,,0.038828266909948596,22.860638347915877,0.027243487755193013,,167072193873.0,4342134127722.0,4302849629124.0,350515236757.0,16034080578.0
001800,오리온홀딩스,2019,0.0464952820022435,32.31480544446681,0.035817185118744106,29.10494479199185,0.053015653768524997,0.0464952820022435,32.31480544446681,0.035817185118744106,0.053015653768524997,201888750760.0,4366333653455.0,4342134127722.0,342587759965.0,10940120978.0
001800,오리온홀딩스,2020,0.037635224426555286,47.601233004116764,0.04858908355624332,29.13455413035786,0.08409242329287735,0.037635224426555286,47.601233004116764,0.04858908355624332,0.08409242329287735,164327946969.0,4497550946110.0,4366333653455.0,420303273309.0,9019144907.0
001800,오리온홀딩스,2021,0.031728513829604066,50.39854646437379,0.04541272729040822,29.232787344153937,0.05901009252175619,0.031728513829604066,50.39854646437379,0.04541272729040822,0.05901009252175619,142700607393.0,4961788340261.0,4497550946110.0,446496362728.0,9038653861.0
001800,오리온홀딩스,2022,0.01734840633356643,81.95258236391575,0.06341905917799692,29.260686747881383,0.21513519090646996,0.01734840633356643,81.95258236391575,0.06341905917799692,0.21513519090646996,86079120268.0,5102168431194.0,4961788340261.0,530055129168.0,6547723540.0
001800,오리온홀딩스,2023,0.03490180286038249,65.57973961763125,0.056519274135499745,29.267743412654912,,0.03490180286038249,65.57973961763125,0.056519274135499745,,178074876746.0,5138300057884.0,5102168431194.0,451802067767.0,6996034212.0
001800,오리온홀딩스,2024,0.02373046070575599,100.0,0.08082129618522667,29.411584194878824,,0.02373046070575599,100.0,0.08082129618522667,,121934227618.0,5933196336149.0,5138300057884.0,676298319370.0,0.0
001810,무림SP,2015,0.015446847359936998,10.279104309250872,0.006236373328565274,26.413062890960493,,0.015446847359936998,10.279104309250872,0.006236373328565274,,4605547679.0,295833576311.0,298154540644.0,15044890880.0,1621373182.0
001810,무림SP,2016,0.007747587283975164,12.659790464139796,0.00909985187186514,26.371683121928832,-0.020376901092954796,0.007747587283975164,12.659790464139796,0.00909985187186514,-0.020376901092954796,2291996454.0,283841869337.0,295833576311.0,19022434202.0,1631455922.0
001810,무림SP,2017,0.007375684365700095,7.551803157828614,0.03469174717037988,26.44394084086404,-0.019480170190989195,0.007375684365700095,7.551803157828614,0.03469174717037988,-0.019480170190989195,2093528038.0,305110804452.0,283841869337.0,8310643626.0,1268451360.0
001810,무림SP,2018,0.0038351818320615672,-3.962792159830074,0.03526356315519306,26.497481931916795,0.011801123258745914,0.0038351818320615672,-3.962792159830074,0.03526356315519306,0.011801123258745914,1170155414.0,321892003030.0,305110804452.0,-9592389263.0,1932861372.0
001810,무림SP,2019,0.004502012160472777,5.4188735294952055,0.004730580326250186,26.422843724729383,-0.32877995549484845,0.004502012160472777,5.4188735294952055,0.004730580326250186,-0.32877995549484845,1449161712.0,298741272008.0,321892003030.0,7388104449.0,1671942951.0
001810,무림SP,2020,0.008598855433444125,15.01351294377296,0.006062875594307474,26.41548759002397,-0.09055420392424579,0.008598855433444125,15.01351294377296,0.006062875594307474,-0.09055420392424579,2568833010.0,296551754037.0,298741272008.0,17109722199.0,1220944546.0
001810,무림SP,2021,0.004061077038342994,-1.2985043174257016,0.014023628487221305,26.456320223594762,0.05418810147441574,0.004061077038342994,-1.2985043174257016,0.014023628487221305,0.05418810147441574,1204319519.0,308911363628.0,296551754037.0,-1817436413.0,790703937.0
001810,무림SP,2022,0.013273731454365752,-15.672602919384515,0.0003808789014986113,26.468807876159488,0.16075946248785217,0.013273731454365752,-15.672602919384515,0.0003808789014986113,0.16075946248785217,4100406484.0,312793128029.0,308911363628.0,-20366782726.0,1221571870.0
001810,무림SP,2023,0.01635088543417688,9.766607824534555,0.00017635772733210877,26.476049404455186,0.05629406233597127,0.01635088543417688,9.766607824534555,0.00017635772733210877,0.05629406233597127,5114444601.0,315066449543.0,312793128029.0,26649437696.0,3039880217.0
001810,무림SP,2024,0.010771556891959145,-6.2963940379018934,0.010276280513666754,26.505954298546175,0.09113308659815143,0.010771556891959145,-6.2963940379018934,0.010276280513666754,0.09113308659815143,3393756186.0,324630775655.0,315066449543.0,-24607765575.0,3372592742.0
