stock_code,company_name,year,total_assets,total_assets_prev,capex,ocf,interest_paid,interest_expense,sales,net_income,cfcr,inv_rate,roa,size
251270,넷마블,2024,8177066253496.0,7915865389294.0,17265014217.0,,,192308330172.0,,,,0.0021810646553376816,,29.7323545534965
161390,한국타이어앤테크놀로지,2024,15849744509888.0,12763305688360.0,1033135598205.0,1886111357762.0,46760897083.0,144167140938.0,9411947926996.0,1131097818215.0,41.33522612738109,0.08094576933522862,0.07136378870393494,30.39417449687195
214450,파마리서치,2024,855700916352.0,535281189557.0,36414698107.0,138121879153.0,428666506.0,41043763211.0,350115068641.0,92043313166.0,323.21290261712215,0.06802910099855534,0.10756481780853579,27.47518675524983
051900,LG생활건강,2024,7405784092201.0,7220285811725.0,131143052779.0,527630110092.0,18559777623.0,17267275143.0,6811918756741.0,203887730139.0,29.428687067787934,0.01816313871758888,0.027530876893064344,29.633282444903056
271560,오리온,2024,4308449797008.0,3521385127842.0,106937398828.0,651588436551.0,,0.0,3104338576129.0,533229552422.0,100.0,0.030367992975972535,0.12376366849912024,29.091599279477112
001040,CJ,2024,47496993224000.0,47203762893000.0,1344839176000.0,4830828591000.0,915973129000.0,1933431829000.0,43646656090000.0,151195776000.0,6.273985052677238,0.028490084128429315,0.0031832704711843005,31.49168752441821
307950,현대오토에버,2024,3349516801000.0,2843057165000.0,85117368000.0,255982289000.0,,11461254000.0,3713617277000.0,175182500000.0,23.334579532047716,0.029938676241847567,0.05230082737536924,28.839837212854686
078930,GS,2024,35063398000000.0,34448425000000.0,1271137000000.0,2426192000000.0,,651391000000.0,25297467000000.0,863517000000.0,4.724632363664834,0.03689971312186261,0.024627305088913518,31.188178910291697
028050,삼성E&A,2024,10013337796132.0,7801398613122.0,42954114369.0,1635836692152.0,,116180586125.0,9966551344477.0,756929334156.0,15.080120842151587,0.005505950471079752,0.07559211020009635,29.93493909984189
034220,LG디스플레이,2024,32859566000000.0,35759298000000.0,2129735000000.0,2411761000000.0,915858000000.0,1821912000000.0,,,3.6333350803290467,0.0595575170407428,,31.12326402090328
