종목코드,종목명,종가,대비,등락률,상장시가총액
"062970","한국첨단소재","3750","-125","-3.23","74013.0"
"063440","SM Life Design","1599","-1","-0.06","73601.0"
"063760","이엘피","2120","30","1.44","19769.0"
"064090","인크레더블버즈","1976","30","1.54","98292.0"
"064240","홈캐스트","2175","-25","-1.14","76208.0"
"064290","인텍플러스","8720","-160","-1.80","112174.0"
"064480","브리지텍","5640","40","0.71","67412.0"
"064520","테크엘","2270","-10","-0.44","50737.0"
"064850","에프앤가이드","7820","-50","-0.64","89229.0"
"065060","지엔코","1186","-15","-1.25","12810.0"
"065130","탑엔지니어링","3810","-25","-0.65","62219.0"
"065370","위세아이텍","7960","-190","-2.33","58776.0"
"065420","에스아이리소스","291","19","6.99","20829.0"
"065440","이루온","1765","8","0.46","48140.0"
"065450","빅텍","4120","-10","-0.24","118050.0"
"065500","오리엔트정공","3675","-50","-1.34","116655.0"
"065510","휴비츠","7690","-60","-0.77","93506.0"
"065530","와이어블","1299","1","0.08","68665.0"
"065770","CS","1070","46","4.49","20770.0"
"065950","웰크론","2340","245","11.69","66061.0"
"066130","하츠","5140","70","1.38","65792.0"
"066310","큐에스아이","8350","-50","-0.60","77418.0"
"066360","체리부로","823","12","1.48","39465.0"
"066430","아이로보틱스","1349","-146","-9.77","52818.0"
"066670","디티씨","3125","-55","-1.73","58412.0"
"066700","테라젠이텍스","2970","-25","-0.83","110343.0"
"066790","씨씨에스","1493","0","0.00","97272.0"
"066900","디에이피","2300","-25","-1.08","52312.0"
"066910","손오공","1056","46","4.55","60369.0"
"066980","한성크린텍","1502","30","2.04","78007.0"
"067000","조이시티","1918","-26","-1.34","134075.0"
"067010","이씨에스","2805","0","0.00","34485.0"
"067170","오텍","2915","515","21.46","44867.0"
"067290","JW신약","1640","-21","-1.26","87537.0"
"067370","선바이오","6990","110","1.60","86072.0"
"067570","엔브이에이치코리아","2375","5","0.21","100154.0"
"067730","로지시스","3400","-50","-1.45","32891.0"
"067770","세진티에스","2410","-15","-0.62","20236.0"
"067900","와이엔텍","7050","-30","-0.42","128308.0"
"067920","이글루","5530","-40","-0.72","60809.0"
"067990","도이치모터스","4590","-20","-0.43","133943.0"
"068050","팬엔터테인먼트","2315","-30","-1.28","64112.0"
"068100","케이웨더","3665","30","0.83","36429.0"
"068330","일신바이오","1796","84","4.91","79412.0"
"069140","누리플랜","1669","36","2.20","21868.0"
"069330","유아이디","1183","-12","-1.00","16788.0"
"069410","엔텔스","5540","110","2.03","56756.0"
"069540","빛과전자","1416","-10","-0.70","65846.0"
"069920","엑시온그룹","1504","-8","-0.53","59240.0"
"070300","엑스큐어","2350","60","2.62","23332.0"
"070590","한솔인티큐브","1904","-48","-2.46","26427.0"
"071670","에이테크솔루션","6060","-40","-0.66","60600.0"
"072020","중앙백신","9830","-80","-0.81","94945.0"
"072470","우리산업홀딩스","3990","-90","-2.21","75360.0"
"072770","율호","622","-11","-1.74","44734.0"
"072870","메가스터디","11200","130","1.17","133515.0"
"072950","빛샘전자","5620","40","0.72","45256.0"
"072990","에이치시티","8480","-270","-3.09","62458.0"
"073110","엘엠에스","6160","10","0.16","54798.0"
"073190","듀오백","2135","15","0.71","25552.0"
"073540","에프알텍","1923","-10","-0.52","21922.0"
"073560","우리손에프앤지","1529","-12","-0.78","105864.0"
"074430","아미노로직스","1104","-54","-4.66","96961.0"
"075130","플랜티넷","2985","-10","-0.33","49618.0"
"075970","동국알앤에스","2395","-5","-0.21","44068.0"
"076080","웰크론한텍","1620","-19","-1.16","36603.0"
"076610","해성옵틱스","558","4","0.72","24247.0"
"078350","한양디지텍","9170","-60","-0.65","139791.0"
"078590","휴림에이텍","534","-11","-2.02","30016.0"
